[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 81.000000, 10.550000, 766 x 238, 10.800000, 11.050000, 99.000000, 0.000000, 0.010000, 0 x 544, 0.020000, -0.003410, 0.002610, 0.000760, -0.005300, -0.000310, 0.749070, 154.000000, 11.000000, 0.100000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 24.000000, 10.200000, 736 x 259, 10.300000, 10.540000, 99.500000, 0.000000, 0.010000, 0 x 543, 0.010000, -0.004240, 0.002790, 0.000620, -0.005120, 0.000000, 0.715980, 1.000000, 10.500000, 0.095000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 367.000000, 9.970000, 839 x 303, 9.800000, 10.050000, 100.000000, 0.000000, 0.020000, 0 x 492, 0.010000, -0.003770, 0.003060, 0.000300, -0.004650, 0.000000, 0.683360, 3.000000, 10.000000, 0.091000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 162.000000, 8.800000, 507 x 406, 8.810000, 9.060000, 101.000000, 0.000000, 0.020000, 0 x 741, 0.010000, -0.004480, 0.003620, 0.000680, -0.004660, -0.000320, 0.618200, 0.000000, 9.000000, 0.082000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 389.000000, 7.970000, 125 x 318, 7.890000, 8.050000, 102.000000, 0.000000, 0.010000, 0 x 392, 0.010000, -0.004770, 0.004460, 0.001290, -0.004710, -0.000430, 0.552620, 60.000000, 8.000000, 0.073000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 6.900000, 868 x 163, 6.800000, 7.050000, 103.000000, 0.000000, 0.010000, 0 x 302, 0.010000, -0.005240, 0.005670, 0.000580, -0.004910, -0.000280, 0.487610, 85.000000, 7.000000, 0.064000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 5.850000, 410 x 435, 5.840000, 6.050000, 104.000000, 0.000000, 0.000000, 0 x 57, 0.010000, -0.006750, 0.007330, 0.000730, -0.004680, -0.000010, 0.421970, 62.000000, 6.000000, 0.054000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 4.960000, 363 x 433, 4.890000, 5.050000, 105.000000, 0.000000, 0.010000, 0 x 474, 0.010000, -0.007880, 0.009950, 0.000870, -0.005470, -0.000450, 0.356300, 434.000000, 5.000000, 0.045000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 3.990000, 141 x 10, 3.900000, 4.000000, 106.000000, 0.000000, 0.010000, 0 x 288, 0.010000, -0.008820, 0.014450, 0.001620, -0.005110, 0.000000, 0.289450, , 4.000000, 0.036000
1459540800, 2016-04-01 16:00, 2016-04-01, 16.000000, 109.990000, 2016-04-01, 1459540800, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 2.940000, 597 x 170, 2.840000, 3.040000, 107.000000, 0.000000, 0.010000, 0 x 91, 0.010000, -0.011790, 0.023310, 0.001520, -0.005050, 0.000000, 0.221900, , 3.000000, 0.027000
